Datetime,Adj Close,Close,High,Low,Open,Volume,US/Eastern Timezone
2018-06-26,162.09,162.09,162.37,161.75,162.05,598.32K,2018-06-26 19:59:59-04:00
2018-06-27,162.3,162.3,162.55,162.01,162.09,607.01K,2018-06-27 19:59:59-04:00
2018-06-28,162.46,162.46,162.66,162.18,162.42,512.92K,2018-06-28 19:59:59-04:00
2018-06-29,162.55,162.55,162.65,161.85,162.15,699.21K,2018-06-29 19:59:59-04:00
2018-07-02,162.63,162.63,162.89,162.42,162.57,460.78K,2018-07-02 19:59:59-04:00
2018-07-03,162.72,162.72,162.81,162.22,162.41,504.75K,2018-07-03 19:59:59-04:00
2018-07-04,162.55,162.55,162.87,162.37,162.6,316.43K,2018-07-04 19:59:59-04:00
2018-07-05,162.7,162.7,162.78,162.06,162.37,608.84K,2018-07-05 19:59:59-04:00
2018-07-06,162.82,162.82,162.93,162.47,162.5,428.97K,2018-07-06 19:59:59-04:00
2018-07-09,162.61,162.61,162.73,162.35,162.67,406.31K,2018-07-09 19:59:59-04:00
2018-07-10,162.38,162.38,162.57,162.26,162.49,488.69K,2018-07-10 19:59:59-04:00
2018-07-11,162.53,162.53,162.8,162.4,162.59,547.38K,2018-07-11 19:59:59-04:00
